EducationLevel,Location,Method,Program,Term,URL,University
Bachelor's degree,"		Northampton, England
", On campus,International Tourism Management/Drama,3 years,https://www.educations.com/study-abroad/university-of-northampton/international-tourism-management-drama-945564,University of Northampton
Master's degree,"		Plymouth, England
", On campus,International Hospitality Management (Taught),2 years,https://www.educations.com/study-abroad/university-of-plymouth/international-hospitality-management-taught-951421,University of Plymouth
Master's degree,"		Plymouth, England
", On campus,International Hospitality Management (Taught),1 year,https://www.educations.com/study-abroad/university-of-plymouth/international-hospitality-management-taught-951422,University of Plymouth
Foundation / Pathway program,"		London, England
", On campus,Hospitality Management and Food Studies with Placement,3 years,https://www.educations.com/study-abroad/university-of-west-london/hospitality-management-and-food-studies-with-placement-964540,University of West London
Bachelor's degree,"		Middlesbrough, England
", On campus,Hospitality Management (Top-up),2 years,https://www.educations.com/study-abroad/middlesbrough-college/hospitality-management-top-up-908264,Middlesbrough College
Bachelor's degree,"		London, England
", On campus,Hospitality Management and Food Studies with Placement,4 years,https://www.educations.com/study-abroad/university-of-west-london/hospitality-management-and-food-studies-with-placement-964539,University of West London
Bachelor's degree,"		Loughborough, England
", On campus,Hospitality Management (Top-Up),1 year,https://www.educations.com/study-abroad/loughborough-college/hospitality-management-top-up-905581,Loughborough College
Foundation / Pathway program,"		Nottingham, England
", On campus,Hospitality Management (Culinary Arts),2 years,https://www.educations.com/study-abroad/nottingham-college/hospitality-management-culinary-arts-910197,Nottingham College
Master's degree,"		Huddersfield, England
", On campus,Hospitality Management (Taught),1 year,https://www.educations.com/study-abroad/university-of-huddersfield/hospitality-management-taught-941289,University of Huddersfield
Bachelor's degree,"		London, England
", On campus,BA (Hons) International Hospitality Management,1 year,https://www.educations.com/study-abroad/the-london-college/ba-hons-international-hospitality-management-918191,The London College
Bachelor's degree,"		York, England
", On campus,International Hospitality Management (with Foundation Year),4 years,https://www.educations.com/study-abroad/york-st-john-university/international-hospitality-management-with-foundation-year-960406,York St John University
Bachelor's degree,"		Preston, England
", On campus,International Hospitality Management (Sandwich),4 years,https://www.educations.com/study-abroad/university-of-central-lancashire/international-hospitality-management-sandwich-929529,University of Central Lancashire
Master's degree,"		Preston, England
", On campus,International Festivals & Event Management,2 years,https://www.educations.com/study-abroad/university-of-central-lancashire/international-festivals-event-management-938334,University of Central Lancashire
Bachelor's degree,"		Plymouth, England
", On campus,Cruise Management,3 years,https://www.educations.com/study-abroad/university-of-plymouth/cruise-management-951428,University of Plymouth
Bachelor's degree,"		London, England
", On campus,BA (Hons) International Hospitality Management (Top Up),1 year,https://www.educations.com/study-abroad/the-london-college/ba-hons-international-hospitality-management-top-up-918190,The London College
Bachelor's degree,"		Norwich, England
", On campus,Hospitality and Event Management,3 years,https://www.educations.com/study-abroad/city-college-norwich/hospitality-and-event-management-890222,City College Norwich
Bachelor's degree,"		Sheffield, England
", On campus,International Hospitality Business Management with Conference and Events,3 years,https://www.educations.com/study-abroad/sheffield-hallam-university/international-hospitality-business-management-with-conference-and-events-919805,Sheffield Hallam University
Bachelor's degree,"		Sheffield, England
", On campus,International Hospitality Business Management with Culinary Arts,3 years,https://www.educations.com/study-abroad/sheffield-hallam-university/international-hospitality-business-management-with-culinary-arts-919794,Sheffield Hallam University
Bachelor's degree,"		Liverpool, England
", On campus,Events Management with Foundation Year - Subject to Validation,4 years,https://www.educations.com/study-abroad/liverpool-john-moores-university/events-management-with-foundation-year-subject-to-validation-904927,Liverpool John Moores University
Bachelor's degree,"		Liverpool, England
", On campus,Events Management with Foundation Year - Subject to Validation,5 years,https://www.educations.com/study-abroad/liverpool-john-moores-university/events-management-with-foundation-year-subject-to-validation-904928,Liverpool John Moores University
Foundation / Pathway program,"		London, England
", On campus,Event Management with Hospitality with Placement,3 years,https://www.educations.com/study-abroad/university-of-west-london/event-management-with-hospitality-with-placement-964756,University of West London
Bachelor's degree,"		London, England
", On campus,Event Management with Hospitality with Placement,4 years,https://www.educations.com/study-abroad/university-of-west-london/event-management-with-hospitality-with-placement-964755,University of West London
Bachelor's degree,"		Hatfield, England
", On campus,Event Management/Marketing,4 years,https://www.educations.com/study-abroad/university-of-hertfordshire/event-management-marketing-941086,University of Hertfordshire
Bachelor's degree,"		York, England
", On campus,Events and International Hospitality Management (with Placement Year),4 years,https://www.educations.com/study-abroad/york-st-john-university/events-and-international-hospitality-management-with-placement-year-960475,York St John University
Master's degree,"		Derby, England
", Online / Distance,International Hospitality Management MSc,2 years,https://www.educations.com/study-abroad/university-of-derby-online/international-hospitality-management-msc-606876,University of Derby Online Learning
Bachelor's degree,"		Dorset, England
", On campus,Events Management,4 years,https://www.educations.com/study-abroad/bournemouth-university/events-management-897373,Bournemouth University
Bachelor's degree,"		Cambridge (England), England
", On campus,Events Management,3 years,https://www.educations.com/study-abroad/anglia-ruskin-university/events-management-889089,Anglia Ruskin University
Bachelor's degree,"		Cambridge (England), England
", On campus,Events Management (with Placement Year),4 years,https://www.educations.com/study-abroad/anglia-ruskin-university/events-management-with-placement-year-889069,Anglia Ruskin University
Master's degree,"		Oxford, England
", On campus,International Events Marketing (Taught),2 years,https://www.educations.com/study-abroad/oxford-brookes-university/international-events-marketing-taught-911534,Oxford Brookes University
Foundation / Pathway program,"		Nottingham, England
", On campus,Hospitality Management (Events),2 years,https://www.educations.com/study-abroad/nottingham-college/hospitality-management-events-910198,Nottingham College
Bachelor's degree,"		London, England
", On campus,Hospitality Management with Foundation Year,4 years,https://www.educations.com/study-abroad/university-of-west-london/hospitality-management-with-foundation-year-964538,University of West London
Bachelor's degree,"		London, England
", On campus,Hospitality Management and Food Studies,3 years,https://www.educations.com/study-abroad/university-of-west-london/hospitality-management-and-food-studies-964542,University of West London
Doctorate / PhD,"		London, England
", On campus,Hospitality (Research),3 years,https://www.educations.com/study-abroad/university-of-west-london/hospitality-research-964496,University of West London
Bachelor's degree,"		Plymouth, England
", On campus,Cruise Management,4 years,https://www.educations.com/study-abroad/university-of-plymouth/cruise-management-951429,University of Plymouth
Bachelor's degree,"		Cheltenham, England
", On campus,"Hotel, Resort and Events Management",4 years,https://www.educations.com/study-abroad/university-of-gloucestershire/hotel-resort-and-events-management-939624,University of Gloucestershire
Bachelor's degree,"		Northampton, England
", On campus,Events Management (Top-up),1 year,https://www.educations.com/study-abroad/university-of-northampton/events-management-top-up-945708,University of Northampton
Foundation / Pathway program,"		London, England
", On campus,Event Management,2 years,https://www.educations.com/study-abroad/university-of-west-london/event-management-964762,University of West London
Bachelor's degree,"		London, England
", On campus,International Hotel Management with Foundation Year,4 years,https://www.educations.com/study-abroad/university-of-west-london/international-hotel-management-with-foundation-year-964701,University of West London
Foundation / Pathway program,"		London, England
", On campus,International Hotel Management,2 years,https://www.educations.com/study-abroad/university-of-west-london/international-hotel-management-964704,University of West London
Bachelor's degree,"		York, England
", On campus,Events and International Hospitality Management (with Foundation Year),4 years,https://www.educations.com/study-abroad/york-st-john-university/events-and-international-hospitality-management-with-foundation-year-960476,York St John University
Foundation / Pathway program,"		London, England
", On campus,Hospitality Management and Food Studies,2 years,https://www.educations.com/study-abroad/university-of-west-london/hospitality-management-and-food-studies-964520,University of West London
Master's degree,"		London, England
", On campus,Luxury Hospitality Management (Taught),1 year,https://www.educations.com/study-abroad/university-of-west-london/luxury-hospitality-management-taught-964527,University of West London
Foundation / Pathway program,"		London, England
", On campus,International Hotel Management with Placement,3 years,https://www.educations.com/study-abroad/university-of-west-london/international-hotel-management-with-placement-964699,University of West London
Bachelor's degree,"		London, England
", On campus,International Hotel Management,3 years,https://www.educations.com/study-abroad/university-of-west-london/international-hotel-management-964702,University of West London
Bachelor's degree,"		London, England
", On campus,International Hotel Management with Placement,4 years,https://www.educations.com/study-abroad/university-of-west-london/international-hotel-management-with-placement-964700,University of West London
Graduate diploma / certificate,"		Salford, England
", On campus,International Events Management (Taught),1 year,https://www.educations.com/study-abroad/university-of-salford/international-events-management-taught-955357,University of Salford
Master's degree,"		Salford, England
", On campus,International Events Management (Taught),1 year,https://www.educations.com/study-abroad/university-of-salford/international-events-management-taught-955322,University of Salford
Bachelor's degree,"		Colchester, England
", On campus,Hotel Management  (Top-Up),8 months,https://www.educations.com/study-abroad/edge-hotel-school/hotel-management-top-up-900775,Edge Hotel School
Master's degree,"		Sunderland, England
", On campus,Tourism and Hospitality,1 year,https://www.educations.com/study-abroad/university-of-sunderland/tourism-and-hospitality-956711,University of Sunderland
Foundation / Pathway program,"		York, England
", On campus,Equine and Event Management Foundation Degree,,https://www.educations.com/study-abroad/askham-bryan-college/equine-event-management-foundation-degree-154822,Askham Bryan College
Doctorate / PhD,"		Guildford, England
", On campus,Hospitality and Tourism Management PhD,48 months,https://www.educations.com/study-abroad/university-of-surrey/hospitality-and-tourism-management-phd-1021533,University of Surrey
Bachelor's degree,"		Sunderland, England
", On campus,International Tourism and Hospitality Management,3 years,https://www.educations.com/study-abroad/university-of-sunderland/international-tourism-and-hospitality-management-956716,University of Sunderland
Master's degree,"		Coventry, England
", On campus,International Hospitality and Tourism Management MSc,,https://www.educations.com/study-abroad/coventry-university/international-hospitality-and-tourism-management-msc-895647,Coventry University
Bachelor's degree,"		Coventry, England
", On campus,Tourism & Hospitality Management BA (Hons),3 years,https://www.educations.com/study-abroad/coventry-university/tourism-hospitality-management-ba-hons-895652,Coventry University
Bachelor's degree,"		Sunderland, England
", On campus,International Tourism and Hospitality Management (Top-Up),12 months,https://www.educations.com/study-abroad/university-of-sunderland/international-tourism-and-hospitality-management-top-up-956714,University of Sunderland
Master's degree,"		Birmingham, England
", On campus,Hospitality with Tourism Management MSc / PGDip,3 years,https://www.educations.com/study-abroad/university-college-birmingham/hospitality-with-tourism-management-msc-pgdip-924413,University College Birmingham
Bachelor's degree,"		Sunderland, England
", On campus,International Tourism and Hospitality Management with Integrated Foundation Year,4 years,https://www.educations.com/study-abroad/university-of-sunderland/international-tourism-and-hospitality-management-with-integrated-foundation-year-956713,University of Sunderland
Bachelor's degree,"		Preston, England
", On campus,Event Management,3 years,https://www.educations.com/study-abroad/university-of-central-lancashire/event-management-930000,University of Central Lancashire
Bachelor's degree,"		Preston, England
", On campus,Event Management,4 years,https://www.educations.com/study-abroad/university-of-central-lancashire/event-management-930001,University of Central Lancashire
Bachelor's degree,"		Preston, England
", On campus,Event Management (Foundation Entry),4 years,https://www.educations.com/study-abroad/university-of-central-lancashire/event-management-foundation-entry-930002,University of Central Lancashire
Foundation / Pathway program,"		Colchester, England
", On campus,Hotel Management,16 months,https://www.educations.com/study-abroad/edge-hotel-school/hotel-management-900774,Edge Hotel School
Bachelor's degree,"		Birmingham, England
", On campus,Hospitality and Tourism Management BA (Hons) / FdA,3 years,https://www.educations.com/study-abroad/university-college-birmingham/hospitality-and-tourism-management-ba-hons-fda-924400,University College Birmingham
Diploma / certificate,"		Birmingham, England
", On campus,"Tourism, Aviation, Events and Hospitality Level 3",2 years,https://www.educations.com/study-abroad/university-college-birmingham/tourism-aviation-events-and-hospitality-level-3-1585795,University College Birmingham
Master's degree,"		Birmingham, England
", On campus,Luxury Jewellery Management (Taught),1 year,https://www.educations.com/study-abroad/birmingham-city-university/luxury-jewellery-management-taught-895085,Birmingham City University
Bachelor's degree,"		Chichester, England
", On campus,Event Management,3 years,https://www.educations.com/study-abroad/university-of-chichester/event-management-929133,University of Chichester
Bachelor's degree,"		Chichester, England
", On campus,Event Management,4 years,https://www.educations.com/study-abroad/university-of-chichester/event-management-929134,University of Chichester
Graduate diploma / certificate,"		Leeds, England
", Online / Distance,Travel Business Leadership (Taught),1 year,https://www.educations.com/study-abroad/leeds-beckett-university/travel-business-leadership-taught-907459,Leeds Beckett University
Foundation / Pathway program,"		Beverley, England
", On campus,Leisure Management,2 years,https://www.educations.com/study-abroad/east-riding-college/leisure-management-901324,East Riding College
Foundation / Pathway program,"		Beverley, England
", On campus,Leisure Management,4 years,https://www.educations.com/study-abroad/east-riding-college/leisure-management-901318,East Riding College
Master's degree,"		Leeds, England
", Online / Distance,Travel Business Leadership (Taught),3 years,https://www.educations.com/study-abroad/leeds-beckett-university/travel-business-leadership-taught-907472,Leeds Beckett University
Foundation / Pathway program,"		London, England
", On campus,Culinary Arts Management,2 years,https://www.educations.com/study-abroad/westminster-kingsway-college/culinary-arts-management-963228,Westminster Kingsway College
Foundation / Pathway program,"		London, England
", On campus,Culinary Arts Management,2 years,https://www.educations.com/study-abroad/westminster-kingsway-college/culinary-arts-management-963229,Westminster Kingsway College
Master's degree,"		London, England
", On campus,MA Tourism & Cultural Policy,,https://www.educations.com/study-abroad/goldsmiths-university-of-london/ma-tourism-cultural-policy-1610726,"Goldsmiths, University of London"
Master's degree,"		Guildford, England
", On campus,International Tourism Management MSc,1 year,https://www.educations.com/study-abroad/university-of-surrey/international-tourism-management-msc-1470824,University of Surrey
Bachelor's degree,"		Sunderland, England
", On campus,Tourism Management,,https://www.educations.com/study-abroad/university-of-sunderland/tourism-management-956710,University of Sunderland
Bachelor's degree,"		Derby, England
", On campus,BA (Hons) International Tourism Management,3 years,https://www.educations.com/study-abroad/university-of-derby/ba-hons-international-tourism-management-1356017,University of Derby
Master's degree,"		Birmingham, England
", On campus,"Marketing Management for Events, Hospitality and Tourism MA / PGDip",18 months,https://www.educations.com/study-abroad/university-college-birmingham/marketing-management-for-events-hospitality-and-tourism-ma-pgdip-924448,University College Birmingham
Bachelor's degree,"		Cornwall, England
", On campus,Sustainable Tourism Management BA (Hons),2 years,https://www.educations.com/study-abroad/falmouth-university/sustainable-tourism-management-ba-hons-1412453,Falmouth University
Bachelor's degree,"		London, England
", On campus,Tourism and Travel Management BA (Full-time),3 years,https://www.educations.com/study-abroad/london-metropolitan-university/tourism-and-travel-management-ba-full-time-1398576,London Metropolitan University
Bachelor's degree,"		Coventry, England
", Online / Distance,BA (Hons) Business (Tourism) (CMI),,https://www.educations.com/study-abroad/arden-university/ba-hons-business-tourism-cmi-1444015,Arden University
Bachelor's degree,"		Cheltenham, England
", On campus,Spa Management (Level 6),1 year,https://www.educations.com/study-abroad/university-of-gloucestershire/spa-management-level-6-939512,University of Gloucestershire
Bachelor's degree,"		Salford, England
", On campus,International Events Management,3 years,https://www.educations.com/study-abroad/university-of-salford/international-events-management-955358,University of Salford
Bachelor's degree,"		Salford, England
", On campus,International Events Management with Professional Experience Year,4 years,https://www.educations.com/study-abroad/university-of-salford/international-events-management-with-professional-experience-year-955320,University of Salford
Bachelor's degree,"		Huddersfield, England
", On campus,Events Management,4 years,https://www.educations.com/study-abroad/university-of-huddersfield/events-management-941701,University of Huddersfield
Bachelor's degree,"		Leeds, England
", On campus,Events Management,3 years,https://www.educations.com/study-abroad/leeds-beckett-university/events-management-907602,Leeds Beckett University
Bachelor's degree,"		Leeds, England
", On campus,Events Management,4 years,https://www.educations.com/study-abroad/leeds-beckett-university/events-management-907603,Leeds Beckett University
Bachelor's degree,"		Sheffield, England
", On campus,International Hotel and Resort Management (top up),1 year,https://www.educations.com/study-abroad/sheffield-hallam-university/international-hotel-and-resort-management-top-up-919697,Sheffield Hallam University
Master's degree,"		Northampton, England
", On campus,International Special Events Management (Taught),1 year,https://www.educations.com/study-abroad/university-of-northampton/international-special-events-management-taught-945710,University of Northampton
Bachelor's degree,"		Middlesbrough, England
", On campus,Travel and Aviation (Top-up),1 year,https://www.educations.com/study-abroad/middlesbrough-college/travel-and-aviation-top-up-908277,Middlesbrough College
Summer / Short course,"		Liverpool, England
", Online / Distance,Travel Vaccinations: Principles and Practice (Taught),5 weeks,https://www.educations.com/study-abroad/liverpool-school-of-tropical-medicine/travel-vaccinations-principles-and-practice-taught-904338,Liverpool School of Tropical Medicine
Foundation / Pathway program,"		St Helens, England
", On campus,Spa Therapies and Management,2 years,https://www.educations.com/study-abroad/university-centre-st-helens/spa-therapies-and-management-922507,University Centre St Helens
Bachelor's degree,"		London, England
", On campus,Leisure Management,4 years,https://www.educations.com/study-abroad/university-of-west-london/leisure-management-964532,University of West London
Master's degree,"		Brighton, England
", On campus,International Event Management,2 years,https://www.educations.com/study-abroad/university-of-brighton/international-event-management-938075,University of Brighton
Bachelor's degree,"		Coventry, England
", Online / Distance,BA (Hons) Business (Tourism) (Top-Up),,https://www.educations.com/study-abroad/arden-university/ba-hons-business-tourism-top-up-1444016,Arden University
Bachelor's degree,"		Birmingham, England
", On campus,International Tourism Management BA (Hons) / FdA,3 years,https://www.educations.com/study-abroad/university-college-birmingham/international-tourism-management-ba-hons-fda-924404,University College Birmingham
Graduate diploma / certificate,"		Bristol, England
", On campus,Events Management (Taught),3 years,https://www.educations.com/study-abroad/university-of-west-of-england/events-management-taught-959350,University of the West of England
Graduate diploma / certificate,"		Bristol, England
", On campus,Events Management (Taught),1 year,https://www.educations.com/study-abroad/university-of-west-of-england/events-management-taught-959347,University of the West of England
Master's degree,"		Bristol, England
", On campus,Events Management (Taught),1 year,https://www.educations.com/study-abroad/university-of-west-of-england/events-management-taught-959348,University of the West of England
Master's degree,"		Bristol, England
", On campus,Events Management (Taught),3 years,https://www.educations.com/study-abroad/university-of-west-of-england/events-management-taught-959349,University of the West of England
Master's degree,"		Bristol, England
", On campus,Bar Professional Training Studies (Taught),3 years,https://www.educations.com/study-abroad/university-of-west-of-england/bar-professional-training-studies-taught-959078,University of the West of England
Master's degree,"		Bristol, England
", On campus,Bar Professional Training Studies (Taught),1 year,https://www.educations.com/study-abroad/university-of-west-of-england/bar-professional-training-studies-taught-959077,University of the West of England
Bachelor's degree,"		Sheffield, England
", On campus,International Events Management,4 years,https://www.educations.com/study-abroad/sheffield-hallam-university/international-events-management-920155,Sheffield Hallam University
Graduate diploma / certificate,"		Leeds, England
", Online / Distance,Events Management (Taught),1 year,https://www.educations.com/study-abroad/leeds-beckett-university/events-management-taught-907478,Leeds Beckett University
Graduate diploma / certificate,"		Brighton, England
", On campus,International Event Management,2 years,https://www.educations.com/study-abroad/university-of-brighton/international-event-management-938093,University of Brighton
Bachelor's degree,"		London, England
", On campus,Leisure Management with Foundation,4 years,https://www.educations.com/study-abroad/university-of-west-london/leisure-management-with-foundation-964531,University of West London
Bachelor's degree,"		London, England
", On campus,Leisure Management with Placement,4 years,https://www.educations.com/study-abroad/university-of-west-london/leisure-management-with-placement-964530,University of West London
Foundation / Pathway program,"		Cheshire, England
", On campus,Rural Events Management,2 years,https://www.educations.com/study-abroad/university-centre-reaseheath/rural-events-management-919256,University Centre Reaseheath
Master's degree,"		Brighton, England
", On campus,International Event Management,1 year,https://www.educations.com/study-abroad/university-of-brighton/international-event-management-938035,University of Brighton
Bachelor's degree,"		Sheffield, England
", On campus,International Events Management with Experiential Marketing (Top up),1 year,https://www.educations.com/study-abroad/sheffield-hallam-university/international-events-management-with-experiential-marketing-top-up-920160,Sheffield Hallam University
Bachelor's degree,"		Bedford, England
", On campus,Event Management with Foundation Year,4 years,https://www.educations.com/study-abroad/university-of-bedfordshire/event-management-with-foundation-year-926310,University of Bedfordshire
Bachelor's degree,"		Sheffield, England
", On campus,Event Management,1 year,https://www.educations.com/study-abroad/sheffield-college/event-management-922582,Sheffield College
Bachelor's degree,"		Canterbury, England
", On campus,Event Management including International Foundation Year (EU only),4 years,https://www.educations.com/study-abroad/canterbury-christ-church-university/event-management-including-international-foundation-year-eu-only-897033,Canterbury Christ Church University
Graduate diploma / certificate,"		Brighton, England
", On campus,International Event Management,1 year,https://www.educations.com/study-abroad/university-of-brighton/international-event-management-938094,University of Brighton
Bachelor's degree,"		York, England
", On campus,Events Management with Foundation Year,4 years,https://www.educations.com/study-abroad/york-st-john-university/events-management-with-foundation-year-960473,York St John University
Master's degree,"		Leeds, England
", Online / Distance,Events Management (Taught),3 years,https://www.educations.com/study-abroad/leeds-beckett-university/events-management-taught-907479,Leeds Beckett University
Foundation / Pathway program,"		Leamington Spa, England
", On campus,Events and Business Management,2 years,https://www.educations.com/study-abroad/warwickshire-college-group/events-and-business-management-962524,Warwickshire College Group (WCG)
Foundation / Pathway program,"		Leamington Spa, England
", On campus,Events and Business Management,2 years,https://www.educations.com/study-abroad/warwickshire-college-group/events-and-business-management-962525,Warwickshire College Group (WCG)
Foundation / Pathway program,"		Durham, England
", On campus,Events Management,2 years,https://www.educations.com/study-abroad/new-college-durham/events-management-909569,New College Durham
Bachelor's degree,"		Northampton, England
", On campus,Events Management/English,3 years,https://www.educations.com/study-abroad/university-of-northampton/events-management-english-945716,University of Northampton
Bachelor's degree,"		Northampton, England
", On campus,Events Management/Creative Writing,3 years,https://www.educations.com/study-abroad/university-of-northampton/events-management-creative-writing-945706,University of Northampton
Bachelor's degree,"		London, England
", On campus,Events and Entertainment Management,3 years,https://www.educations.com/study-abroad/gsm-london/events-and-entertainment-management-906522,GSM London
Bachelor's degree,"		Bedford, England
", On campus,Events Marketing and Management with placement with Foundation Year,4 years,https://www.educations.com/study-abroad/university-of-bedfordshire/events-marketing-and-management-with-placement-with-foundation-year-926307,University of Bedfordshire
Bachelor's degree,"		London, England
", On campus,Events and Entertainment Management (Accelerated),2 years,https://www.educations.com/study-abroad/gsm-london/events-and-entertainment-management-accelerated-906524,GSM London
Bachelor's degree,"		Oxford, England
", On campus,Events Management,8 years,https://www.educations.com/study-abroad/oxford-brookes-university/events-management-911679,Oxford Brookes University
Foundation / Pathway program,"		Oxford, England
", On campus,Events Management (Abingdon and Witney College),2 years,https://www.educations.com/study-abroad/oxford-brookes-university/events-management-abingdon-and-witney-college-911609,Oxford Brookes University
Foundation / Pathway program,"		Oxford, England
", On campus,Events Management (Abingdon and Witney College),3 years,https://www.educations.com/study-abroad/oxford-brookes-university/events-management-abingdon-and-witney-college-911682,Oxford Brookes University
Bachelor's degree,"		London, England
", On campus,International Events Management,4 years,https://www.educations.com/study-abroad/regents-university-london/international-events-management-912104,Regent's University London
Bachelor's degree,"		London, England
", On campus,Culinary Arts and Business Management (Top Up),1 year,https://www.educations.com/study-abroad/westminster-kingsway-college/culinary-arts-and-business-management-top-up-963230,Westminster Kingsway College
Master's degree,"		Dorset, England
", On campus,Events Management (Taught),2 years,https://www.educations.com/study-abroad/bournemouth-university/events-management-taught-897388,Bournemouth University
Bachelor's degree,"		Chester, England
", On campus,Events Management and Marketing Management,3 years,https://www.educations.com/study-abroad/university-of-chester/events-management-and-marketing-management-934391,University of Chester
Foundation / Pathway program,"		Plumpton, England
", On campus,Wine Production - subject to validation,2 years,https://www.educations.com/study-abroad/plumpton-college/wine-production-subject-to-validation-913689,Plumpton College
Bachelor's degree,"		London, England
", On campus,Event Management,3 years,https://www.educations.com/study-abroad/university-of-west-london/event-management-964761,University of West London
Bachelor's degree,"		Chichester, England
", On campus,Event Management and Finance,3 years,https://www.educations.com/study-abroad/university-of-chichester/event-management-and-finance-929189,University of Chichester
Bachelor's degree,"		Chichester, England
", On campus,Event Management and Finance,4 years,https://www.educations.com/study-abroad/university-of-chichester/event-management-and-finance-929132,University of Chichester
Bachelor's degree,"		London, England
", On campus,Events and Entertainment Management (Accelerated with Foundation Year),32 months,https://www.educations.com/study-abroad/gsm-london/events-and-entertainment-management-accelerated-with-foundation-year-906523,GSM London
Bachelor's degree,"		Northampton, England
", On campus,Events Management/Criminology,3 years,https://www.educations.com/study-abroad/university-of-northampton/events-management-criminology-945707,University of Northampton
Bachelor's degree,"		Northampton, England
", On campus,Events Management/Economics,3 years,https://www.educations.com/study-abroad/university-of-northampton/events-management-economics-945709,University of Northampton
Bachelor's degree,"		Brighton, England
", On campus,International Event Management (Top-Up),1 year,https://www.educations.com/study-abroad/university-of-brighton/international-event-management-top-up-928032,University of Brighton
Bachelor's degree,"		London, England
", On campus,International Events Management with integrated foundation,5 years,https://www.educations.com/study-abroad/regents-university-london/international-events-management-with-integrated-foundation-912103,Regent's University London
Foundation / Pathway program,"		Brighton, England
", On campus,Creative Industries Event Management,2 years,https://www.educations.com/study-abroad/greater-brighton-metropolitan-college/creative-industries-event-management-901371,Greater Brighton Metropolitan College
Bachelor's degree,"		Chichester, England
", On campus,Event Management with International English Studies,3 years,https://www.educations.com/study-abroad/university-of-chichester/event-management-with-international-english-studies-929243,University of Chichester
Bachelor's degree,"		York, England
", On campus,Events Management,3 years,https://www.educations.com/study-abroad/york-st-john-university/events-management-960474,York St John University
Bachelor's degree,"		Chester, England
", On campus,Events Management and Business Management,4 years,https://www.educations.com/study-abroad/university-of-chester/events-management-and-business-management-934405,University of Chester
Bachelor's degree,"		Oxford, England
", On campus,Events Management,3 years,https://www.educations.com/study-abroad/oxford-brookes-university/events-management-911680,Oxford Brookes University
Bachelor's degree,"		Oxford, England
", On campus,Events Management,4 years,https://www.educations.com/study-abroad/oxford-brookes-university/events-management-911681,Oxford Brookes University
Bachelor's degree,"		Chester, England
", On campus,Events and Festivals Management,3 years,https://www.educations.com/study-abroad/university-of-chester/events-and-festivals-management-934418,University of Chester
Foundation / Pathway program,"		Weston-super-Mare, England
", On campus,Events Production and Management,2 years,https://www.educations.com/study-abroad/university-centre-weston/events-production-and-management-921471,University Centre Weston
Diploma / certificate,"		Hertfordshire, England
", On campus,Stadium and Event Management (Tottenham Hotspur Foundation),2 years,https://www.educations.com/study-abroad/hertford-regional-college/stadium-and-event-management-tottenham-hotspur-foundation-906554,Hertford Regional College
Bachelor's degree,"		Winchester, England
", On campus,Event Management,3 years,https://www.educations.com/study-abroad/university-of-winchester/event-management-961767,University of Winchester
Bachelor's degree,"		London, England
", On campus,Culinary Arts and Business Management (Top Up),2 years,https://www.educations.com/study-abroad/westminster-kingsway-college/culinary-arts-and-business-management-top-up-963224,Westminster Kingsway College
Bachelor's degree,"		Chichester, England
", On campus,Event Management and Human Resource Management,4 years,https://www.educations.com/study-abroad/university-of-chichester/event-management-and-human-resource-management-929188,University of Chichester
Bachelor's degree,"		Chichester, England
", On campus,Event Management and Human Resource Management,3 years,https://www.educations.com/study-abroad/university-of-chichester/event-management-and-human-resource-management-929217,University of Chichester
Diploma / certificate,"		London, England
", On campus,Events Assistant Diploma,2 days,https://www.educations.com/study-abroad/souters/events-assistant-diploma-516806,Souters
Bachelor's degree,"		Northampton, England
", On campus,Events Management/Accounting,3 years,https://www.educations.com/study-abroad/university-of-northampton/events-management-accounting-945703,University of Northampton
Bachelor's degree,"		Brighton, England
", On campus,International Event Management,3 years,https://www.educations.com/study-abroad/university-of-brighton/international-event-management-928025,University of Brighton
Bachelor's degree,"		Brighton, England
", On campus,International Event Management,4 years,https://www.educations.com/study-abroad/university-of-brighton/international-event-management-928008,University of Brighton
Foundation / Pathway program,"		Hull, England
", On campus,Live Events Production,2 years,https://www.educations.com/study-abroad/hull-college/live-events-production-904164,Hull College
Bachelor's degree,"		Chester, England
", On campus,Events Management and Marketing Management,4 years,https://www.educations.com/study-abroad/university-of-chester/events-management-and-marketing-management-934390,University of Chester
Bachelor's degree,"		Salford, England
", On campus,International Events Management with Foundation Year,4 years,https://www.educations.com/study-abroad/university-of-salford/international-events-management-with-foundation-year-955321,University of Salford
Bachelor's degree,"		Guildford, England
", On campus,Event Management,2 years,https://www.educations.com/study-abroad/acm-the-academy-of-contemporary-music/event-management-888737,ACM (The Academy of Contemporary Music)
Bachelor's degree,"		London, England
", On campus,Events and Entertainment Management (with Foundation Year),4 years,https://www.educations.com/study-abroad/gsm-london/events-and-entertainment-management-with-foundation-year-906525,GSM London
Foundation / Pathway program,"		Canterbury, England
", On campus,Events and Venues Management,2 years,https://www.educations.com/study-abroad/canterbury-christ-church-university/events-and-venues-management-897034,Canterbury Christ Church University
Bachelor's degree,"		Lincoln, England
", On campus,Events Management,3 years,https://www.educations.com/study-abroad/university-of-lincoln/events-management-948152,University of Lincoln
Bachelor's degree,"		Lincoln, England
", On campus,Events Management,4 years,https://www.educations.com/study-abroad/university-of-lincoln/events-management-948149,University of Lincoln
